record_id,timestamp,entity_type,location_zone,sensor_temp_c,mkt_value,anomaly_flag,confidence_score
REC-00001,2025-11-24,mRNA Vaccines,Chicago O'Hare Bio,30.816,28.344,0,0.961
REC-00002,2025-10-07,Enzyme Replacements,Tokyo Narita Cold,12.702,11.392,0,0.946
REC-00003,2025-10-15,Enzyme Replacements,Tokyo Narita Cold,28.737,32.893,0,0.881
REC-00004,2025-03-23,Insulin Analogs,Chicago O'Hare Bio,33.619,32.195,0,0.891
REC-00005,2025-07-14,Cell Therapy Kits,Chicago O'Hare Bio,61.317,76.865,0,0.939
REC-00006,2025-07-13,Enzyme Replacements,Chicago O'Hare Bio,80.499,93.319,0,0.944
REC-00007,2025-12-27,mRNA Vaccines,Basel Logistics,75.711,101.65,0,0.975
REC-00008,2025-07-14,Insulin Analogs,Chicago O'Hare Bio,23.826,24.484,0,0.957
REC-00009,2025-12-16,mRNA Vaccines,Liege Cargo Port,63.973,71.462,0,0.931
REC-00010,2025-05-19,Enzyme Replacements,Basel Logistics,68.192,86.701,0,0.905
REC-00011,2025-01-17,Insulin Analogs,Chicago O'Hare Bio,15.626,20.416,0,0.959
REC-00012,2025-04-19,Insulin Analogs,Tokyo Narita Cold,85.198,99.803,0,0.895
REC-00013,2025-10-15,Cell Therapy Kits,Liege Cargo Port,46.417,52.997,0,0.99
REC-00014,2025-03-12,Insulin Analogs,Frankfurt Pharma Hub,74.241,95.069,0,0.898
REC-00015,2025-12-15,Enzyme Replacements,Frankfurt Pharma Hub,42.705,49.023,0,0.908
REC-00016,2025-10-11,mRNA Vaccines,Liege Cargo Port,73.825,91.122,0,0.912
REC-00017,2025-03-22,mRNA Vaccines,Chicago O'Hare Bio,92.61,114.001,1,0.892
REC-00018,2025-11-17,Enzyme Replacements,Liege Cargo Port,26.907,27.901,0,0.985
REC-00019,2025-09-29,Enzyme Replacements,Chicago O'Hare Bio,51.531,46.684,0,0.988
REC-00020,2025-06-07,mRNA Vaccines,Basel Logistics,84.631,112.007,0,0.933
REC-00021,2025-02-05,Monoclonal Antibodies,Basel Logistics,66.079,87.451,0,0.938
REC-00022,2025-11-07,Monoclonal Antibodies,Liege Cargo Port,74.198,88.662,0,0.924
REC-00023,2025-12-10,Cell Therapy Kits,Tokyo Narita Cold,86.467,93.016,0,0.887
REC-00024,2025-01-11,Enzyme Replacements,Basel Logistics,60.017,51.23,0,0.886
REC-00025,2025-02-04,Cell Therapy Kits,Frankfurt Pharma Hub,53.703,53.125,0,0.939
REC-00026,2025-10-20,Insulin Analogs,Basel Logistics,76.693,96.154,0,0.891
REC-00027,2025-08-09,Insulin Analogs,Tokyo Narita Cold,49.697,60.359,0,0.988
REC-00028,2025-02-20,Insulin Analogs,Chicago O'Hare Bio,78.05,70.607,0,0.939
REC-00029,2025-03-13,Monoclonal Antibodies,Chicago O'Hare Bio,49.323,63.491,0,0.969
REC-00030,2025-10-09,mRNA Vaccines,Liege Cargo Port,81.062,108.177,0,0.973
REC-00031,2025-03-27,Insulin Analogs,Tokyo Narita Cold,28.169,29.592,0,0.922
REC-00032,2025-07-19,Insulin Analogs,Chicago O'Hare Bio,45.956,61.06,0,0.941
REC-00033,2025-09-07,Monoclonal Antibodies,Chicago O'Hare Bio,28.505,25.063,0,0.887
REC-00034,2025-06-10,mRNA Vaccines,Liege Cargo Port,50.527,66.175,0,0.886
REC-00035,2025-09-18,Monoclonal Antibodies,Frankfurt Pharma Hub,60.578,71.943,0,0.893
REC-00036,2025-10-19,Enzyme Replacements,Liege Cargo Port,13.378,11.92,0,0.942
REC-00037,2025-06-11,Monoclonal Antibodies,Chicago O'Hare Bio,30.288,31.739,0,0.913
REC-00038,2025-06-11,mRNA Vaccines,Tokyo Narita Cold,62.799,71.057,0,0.939
REC-00039,2025-09-17,Monoclonal Antibodies,Chicago O'Hare Bio,84.873,109.455,0,0.897
REC-00040,2025-10-06,Enzyme Replacements,Liege Cargo Port,10.665,13.422,0,0.953
REC-00041,2025-03-10,mRNA Vaccines,Frankfurt Pharma Hub,73.105,67.821,0,0.903
REC-00042,2025-06-25,Cell Therapy Kits,Liege Cargo Port,51.525,67.12,0,0.89
REC-00043,2025-08-05,mRNA Vaccines,Frankfurt Pharma Hub,38.352,35.108,0,0.898
REC-00044,2025-08-15,Insulin Analogs,Liege Cargo Port,10.822,9.606,0,0.979
REC-00045,2025-10-07,Cell Therapy Kits,Liege Cargo Port,56.965,60.662,1,0.92
REC-00046,2025-01-21,Monoclonal Antibodies,Basel Logistics,66.689,68.479,0,0.976
REC-00047,2025-11-14,Monoclonal Antibodies,Basel Logistics,92.978,116.723,1,0.883
REC-00048,2025-06-20,Monoclonal Antibodies,Chicago O'Hare Bio,23.532,28.253,0,0.884
REC-00049,2025-08-29,Monoclonal Antibodies,Tokyo Narita Cold,39.721,50.059,0,0.905
REC-00050,2025-12-04,Insulin Analogs,Chicago O'Hare Bio,33.681,29.798,0,0.919
REC-00051,2025-09-18,Enzyme Replacements,Chicago O'Hare Bio,89.835,81.541,0,0.9
REC-00052,2025-05-16,mRNA Vaccines,Liege Cargo Port,46.938,56.996,0,0.947
REC-00053,2025-09-19,Insulin Analogs,Liege Cargo Port,26.157,22.814,0,0.937
REC-00054,2025-10-03,Monoclonal Antibodies,Chicago O'Hare Bio,46.66,61.798,0,0.949
REC-00055,2025-12-06,Cell Therapy Kits,Liege Cargo Port,36.289,38.256,0,0.913
REC-00056,2025-03-07,Insulin Analogs,Tokyo Narita Cold,67.572,87.938,0,0.913
REC-00057,2025-10-08,Cell Therapy Kits,Chicago O'Hare Bio,27.866,34.634,0,0.915
REC-00058,2025-08-15,Monoclonal Antibodies,Liege Cargo Port,50.221,65.317,0,0.899
REC-00059,2025-02-13,Enzyme Replacements,Liege Cargo Port,38.491,48.468,0,0.954
REC-00060,2025-04-26,Monoclonal Antibodies,Frankfurt Pharma Hub,13.928,18.691,0,0.965
REC-00061,2025-08-22,Enzyme Replacements,Basel Logistics,71.059,74.043,0,0.896
REC-00062,2025-12-19,mRNA Vaccines,Tokyo Narita Cold,28.601,35.81,0,0.931
REC-00063,2025-10-13,mRNA Vaccines,Tokyo Narita Cold,21.334,23.09,0,0.941
REC-00064,2025-06-12,Enzyme Replacements,Liege Cargo Port,46.273,60.313,0,0.898
REC-00065,2025-09-01,Cell Therapy Kits,Basel Logistics,81.388,80.465,0,0.933
REC-00066,2025-05-03,Insulin Analogs,Frankfurt Pharma Hub,70.651,68.337,0,0.978
REC-00067,2025-02-11,Monoclonal Antibodies,Basel Logistics,42.558,39.426,0,0.926
REC-00068,2025-06-19,Insulin Analogs,Tokyo Narita Cold,15.293,19.368,0,0.965
REC-00069,2025-12-23,Enzyme Replacements,Tokyo Narita Cold,50.543,66.786,0,0.923
REC-00070,2025-08-03,Enzyme Replacements,Liege Cargo Port,86.314,94.437,0,0.933
REC-00071,2025-07-19,Insulin Analogs,Basel Logistics,81.443,106.672,0,0.939
REC-00072,2025-07-21,Enzyme Replacements,Frankfurt Pharma Hub,17.136,18.238,0,0.9
REC-00073,2025-05-14,Cell Therapy Kits,Basel Logistics,48.649,49.561,0,0.911
REC-00074,2025-08-04,mRNA Vaccines,Tokyo Narita Cold,11.648,13.042,0,0.918
REC-00075,2025-11-29,mRNA Vaccines,Frankfurt Pharma Hub,90.717,86.152,1,0.897
REC-00076,2025-03-06,mRNA Vaccines,Liege Cargo Port,90.559,98.032,1,0.921
REC-00077,2025-11-07,mRNA Vaccines,Basel Logistics,92.001,83.173,1,0.914
REC-00078,2025-12-13,Insulin Analogs,Basel Logistics,16.46,19.675,0,0.891
REC-00079,2025-06-04,Enzyme Replacements,Frankfurt Pharma Hub,77.679,88.008,1,0.939
REC-00080,2025-12-05,mRNA Vaccines,Liege Cargo Port,65.041,55.696,0,0.934
REC-00081,2025-08-10,Insulin Analogs,Basel Logistics,47.016,57.214,0,0.91
REC-00082,2025-10-03,Insulin Analogs,Tokyo Narita Cold,80.187,91.913,0,0.907
REC-00083,2025-02-14,Insulin Analogs,Basel Logistics,73.79,83.746,0,0.917
REC-00084,2025-09-11,Monoclonal Antibodies,Tokyo Narita Cold,28.03,35.007,0,0.977
REC-00085,2025-12-26,Enzyme Replacements,Frankfurt Pharma Hub,53.913,50.976,0,0.925
REC-00086,2025-10-12,Insulin Analogs,Tokyo Narita Cold,48.095,41.295,0,0.924
REC-00087,2025-05-05,Enzyme Replacements,Chicago O'Hare Bio,50.227,56.026,0,0.962
REC-00088,2025-06-19,Insulin Analogs,Chicago O'Hare Bio,36.063,34.81,0,0.915
REC-00089,2025-10-02,Monoclonal Antibodies,Basel Logistics,28.393,31.008,0,0.987
REC-00090,2025-09-26,Cell Therapy Kits,Frankfurt Pharma Hub,80.773,80.621,0,0.913
REC-00091,2025-10-01,Cell Therapy Kits,Frankfurt Pharma Hub,92.815,104.573,1,0.894
REC-00092,2025-09-09,mRNA Vaccines,Liege Cargo Port,34.169,37.222,0,0.986
REC-00093,2025-05-10,mRNA Vaccines,Frankfurt Pharma Hub,44.06,39.083,0,0.886
REC-00094,2025-03-18,Cell Therapy Kits,Frankfurt Pharma Hub,94.483,85.906,1,0.947
REC-00095,2025-11-13,Enzyme Replacements,Tokyo Narita Cold,48.294,51.74,0,0.989
REC-00096,2025-06-06,Enzyme Replacements,Frankfurt Pharma Hub,61.819,75.422,0,0.903
REC-00097,2025-04-19,mRNA Vaccines,Basel Logistics,30.389,34.218,0,0.925
REC-00098,2025-12-19,Insulin Analogs,Chicago O'Hare Bio,12.774,12.698,0,0.975
REC-00099,2025-02-06,Monoclonal Antibodies,Chicago O'Hare Bio,76.965,89.474,0,0.983
REC-00100,2025-08-06,Enzyme Replacements,Basel Logistics,65.049,84.837,0,0.888
REC-00101,2025-03-26,Enzyme Replacements,Liege Cargo Port,88.301,94.445,0,0.913
REC-00102,2025-07-26,Enzyme Replacements,Liege Cargo Port,51.973,46.267,1,0.928
REC-00103,2025-06-15,Cell Therapy Kits,Frankfurt Pharma Hub,17.763,23.642,0,0.943
REC-00104,2025-01-11,Cell Therapy Kits,Liege Cargo Port,13.42,16.482,0,0.952
REC-00105,2025-05-23,Enzyme Replacements,Tokyo Narita Cold,63.957,70.088,0,0.918
REC-00106,2025-06-20,mRNA Vaccines,Basel Logistics,38.033,45.519,0,0.984
REC-00107,2025-10-09,Insulin Analogs,Frankfurt Pharma Hub,36.734,37.161,0,0.924
REC-00108,2025-09-21,Enzyme Replacements,Tokyo Narita Cold,45.126,42.59,0,0.963
REC-00109,2025-11-17,mRNA Vaccines,Basel Logistics,32.7,29.937,0,0.977
REC-00110,2025-09-06,mRNA Vaccines,Liege Cargo Port,77.942,93.912,0,0.882
